Unnamed: 0,Brand me,Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
0,"LG V30+ (Black, 128 )",4.3,4.0,128.0,6.0,48,13.0,4000,24999
1,I Kall K11,3.4,6.0,64.0,4.5,48,12.0,4000,15999
2,Nokia 105 ss,4.3,4.0,4.0,4.5,64,16.0,4000,15000
3,"Samsung Galaxy A50 (White, 64 )",4.4,6.0,64.0,6.4,48,15.0,3800,18999
4,"POCO F1 (Steel Blue, 128 )",4.5,6.0,128.0,6.18,35,15.0,3800,18999
5,"Apple iPhone 11 Pro (Space Grey, 512 )",4.7,8.0,128.0,5.8,35,12.0,5000,140300
6,"Samsung Galaxy A70s (Prism Crush Red, 128 )",4.4,8.0,128.0,6.7,64,5.0,4700,29999
7,"Samsung Galaxy S10 Lite (Prism Blue, 512 )",4.5,8.0,128.0,6.7,48,12.0,4700,47999
8,"OPPO A9 (Marble Green, 128 )",4.4,4.0,128.0,6.53,48,2.0,4020,16490
9,"POCO F1 (Graphite Black, 256 )",4.5,8.0,256.0,6.18,35,5.0,3800,22999
10,Megus Ultra,3.9,6.0,32.0,4.54,64,8.0,4100,1099
11,Jmax M40 Coo of Two,3.8,6.0,32.0,4.5,64,8.0,1050,1299
12,"Wizphone WP (Black, 16 )",,2.0,16.0,5.5,8,,4200,5498
13,Easyfone Star,3.8,6.0,32.0,4.7,64,8.0,3000,3999
14,"OnePlus 7 Pro (Nebula Blue, 256 )",4.5,8.0,256.0,6.67,48,8.0,3800,43999
15,"OnePlus 7 Pro (Mirror Grey, 128 )",4.6,6.0,128.0,6.67,48,8.0,3800,42990
16,Kechaoda A27,4.1,6.0,32.0,3.7,64,,4700,990
17,"Samsung Galaxy S20+ (Cloud Blue, 128 )",4.5,8.0,128.0,6.7,64,1.0,4700,77999
18,"Samsung Galaxy S10 Lite (Prism Black, 512 )",4.5,8.0,128.0,6.7,48,12.0,4700,47999
19,"OPPO A5s (Red, 32 )",4.3,2.0,32.0,6.2,38,2.0,4230,12990
20,InFocus POWER 2,4.1,8.0,64.0,4.54,64,,2500,1199
21,Blacear I7 Trio,3.7,6.0,32.0,2.0,64,13.0,1550,1699
22,Karbonn K451 Power,3.8,6.0,32.0,4.54,48,,3000,1349
23,Micax X742,3.8,6.0,32.0,4.54,25,23.0,3000,1240
24,Snexian Guru 332,,6.0,32.0,4.5,64,32.0,3000,649
25,Snexian Guru 332,,6.0,32.0,4.5,64,13.0,3000,649
26,Blacear i7 Trio,3.8,12.0,24.0,2.0,64,,1550,1690
27,Karbonn K334,3.7,6.0,32.0,4.77,48,,1750,927
28,Lava Prime X,4.1,,32.0,4.5,64,23.0,3000,1599
29,I Kall K23 New Mobile,3.6,8.0,32.0,4.5,48,,3000,649
30,InFocus Selfie C1,3.9,6.0,32.0,4.5,64,15.0,3000,999
31,"LG G8X (Black, 128 )",4.5,6.0,128.0,6.4,35,13.0,3800,54990
32,"Gee A1 (Grey, 64 )",4.0,4.0,64.0,5.5,38,1.0,4010,21499
33,"Tecno Camon 15 Pro (Opal White, 128 )",4.2,6.0,128.0,6.53,48,2.0,3800,15999
34,Lava A7,4.2,6.0,24.0,4.54,48,,1750,1799
35,"Apple iPhone XR ((PRODUCT)RED, 128 )",4.6,12.0,128.0,6.1,35,7.0,3500,573000
36,Micax X749,4.2,6.0,32.0,4.54,48,18.0,1750,1549
37,Itel it2161,4.0,6.0,32.0,4.5,48,,3000,847
38,Karbonn K-Pebble,3.9,12.0,12.0,4.54,48,13.0,3000,1579
39,Karbonn KX21,3.9,6.0,32.0,4.54,48,5.0,3000,1330
40,Inovu A9,3.6,6.0,32.0,4.54,38,,1200,945
41,Inovu A9,3.6,6.0,32.0,4.54,38,0.0,1200,945
42,"LG Q Stylus (Black, 32 )",3.8,3.0,32.0,6.2,48,8.0,3000,15899
43,"OPPO R17 Pro (Emerald Green, 128 )",4.1,8.0,128.0,6.4,35,20.0,3000,31590
44,Micax X516,3.9,6.0,32.0,4.77,48,,1750,1451
45,"Meizu C9 Pro (Black, 32 )",4.1,3.0,32.0,5.4,38,5.0,3000,7490
46,Jivi R21Plus,4.3,1.0,16.0,4.5,48,,3000,798
47,Jivi R21Plus,4.3,1.0,16.0,4.5,48,2.0,3000,869
48,Nokia 3310 DS,3.8,4.0,64.0,4.54,48,,1200,3580
49,Lava 34 ,4.0,6.0,32.0,4.54,64,14.0,2500,1695
50,Easyfone Amico,3.5,6.0,32.0,4.52,48,,3800,2599
51,"Apple iPhone 11 Pro Max (Gold, 64 )",4.7,8.0,64.0,6.5,35,12.0,3000,117100
52,"Samsung Galaxy S8 Plus (Midnight Black, 64 )",4.6,4.0,64.0,6.2,35,8.0,3500,53990
53,"Black Shark 2 (Shadow Black, 128 )",4.4,6.0,128.0,6.39,48,12.0,3800,31999
54,Karbonn K24 Plus Pro,3.8,6.0,32.0,4.54,48,,2800,1299
55,InFocus POWER 2,4.1,8.0,64.0,4.54,64,13.0,2500,1390
56,InFocus Vibe 1,3.6,6.0,32.0,4.5,48,,3000,898
